,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
1,-73.9653343572865,40.7775286924617,17H-PM-1007-01,17H,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,4,NA,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9653343572865 40.7775286924617),NA,19,4,19,13
2,-73.9584561537421,40.7911211164754,33F-PM-1012-02,33F,PM,10122018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,POINT (-73.9584561537421 40.7911211164754),NA,19,4,19,13
3,-73.9792814244424,40.770503194056,4A-AM-1007-04,04A,AM,10072018,4,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9792814244424 40.770503194056),NA,19,4,19,13
4,-73.9680833729772,40.7741871025115,12H-PM-1007-08,12H,PM,10072018,8,NA,NA,NA,+,NA,Above Ground,7,in tree,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9680833729772 40.7741871025115),NA,19,4,19,13
5,-73.9737773613311,40.7673662611015,3G-PM-1013-01,03G,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9737773613311 40.7673662611015),NA,19,4,19,13
6,-73.9756533763813,40.7733537881363,8B-PM-1012-07,08B,PM,10122018,7,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9756533763813 40.7733537881363),NA,19,4,19,13
7,-73.9532804650089,40.7934579333341,37H-PM-1006-05,37H,PM,10062018,5,NA,NA,NA,+,NA,Above Ground,NA,tree,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9532804650089 40.7934579333341),NA,19,4,19,13
8,-73.9765805609072,40.7692807820935,4D-PM-1008-07,04D,PM,10082018,7,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",NA,Ground Plane,FALSE,hopped over fence and chased # 6 around tree & ran it to end of lawn,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9765805609072 40.7692807820935),NA,19,4,19,13
9,-73.9527227282134,40.7935061484064,37I-AM-1010-03,37I,AM,10102018,3,Adult,Cinnamon,Gray,Cinnamon+Gray,NA,Above Ground,4,in tree,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9527227282134 40.7935061484064),NA,19,4,19,13
10,-73.9623984262936,40.7913900453449,31C-PM-1010-03,31C,PM,10102018,3,Adult,Gray,White,Gray+White,NA,Above Ground,10,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9623984262936 40.7913900453449),NA,19,4,19,13
